,like,content,date,place,tags
0,"2,553,659",#브로커,2022년 5월 11일,,['브로커']
1,"2,266,376",6월엔 그냥 브로커잖아🤷🏻‍♀️🤷🏻‍♀️#브로커 6월 8일 개봉,2022년 5월 10일,,['브로커']
2,"3,518,225",B컷,2022년 5월 3일,,[]
3,"3,203,854",브로커 6월 8일 개봉👬👭👩‍👦💙,2022년 4월 28일,,[]
4,"5,386,049",시원 🥴✂️,2022년 4월 21일,,[]
5,"4,109,817",팔레트 밴드 편곡 최고  #YACHT 요트 Special thanks to @bassist_insung 🌹,2022년 3월 16일,,['YACHT']
6,"6,192,951",#가나다라 첫라이브 팔레트 with @moresojuplease 이번 편 괭꿀잼😺,2022년 3월 16일,,['가나다라']
7,"6,192,350",가나다라 😈😈😈💜😈,2022년 3월 11일,,[]
8,"6,802,275",가나다라 #GANADARA박재범 제이팍 @moresojuplease feat.아이유 🔥🔥,2022년 3월 11일,,['GANADARA']
